experiment,dataset,K,category,method,variance,risk,return,number_of_selected_assets,selected_indices,selected_tickers,selected_assets,solve_time,mip_gap,status,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
OR-Library,port5,20,Genetic Algorithm,genetic_algorithm,0.0003117557923722,0.0176566076122297,8.395827012353877e-05,20,"[1, 4, 7, 10, 17, 26, 59, 61, 84, 96, 97, 104, 116, 135, 143, 145, 161, 170, 214, 224]",,,14.17522650002502,,2.0,225.0,225.0,False,none
OR-Library,port5,20,Gurobi Cardinality,cardinality,0.0003046407420797,0.0174539606416337,7.080196150268669e-05,11,"[10, 39, 59, 61, 84, 96, 97, 104, 128, 170, 224]",,,0.017165184020996,0.0,2.0,225.0,225.0,False,none
OR-Library,port5,20,No-Sparsity Baseline,no_sparsity,0.0003046427911994,0.0174540193422459,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,0.0543107986450195,,,225.0,225.0,False,none
OR-Library,port5,20,Simulated Annealing,simulated_annealing,0.0003513230599766,0.0187436138451639,0.0003186463654785,20,"[18, 20, 33, 59, 61, 72, 83, 89, 102, 108, 113, 124, 128, 175, 181, 193, 198, 204, 206, 207]",,,2.820496042026207,,2.0,225.0,225.0,False,none
Yahoo_20stocks,Yahoo_20stocks,5,Best Sparse,cardinality,0.0001579709445192,0.0125686492718696,0.0009245938743775,5,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",,0.0262560844421386,0.0,,,,,
Yahoo_20stocks,Yahoo_20stocks,5,Genetic Algorithm,genetic_algorithm,0.0001579709541947,0.0125686496567767,,5,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",,0.0004220008850097,,,,,,
Yahoo_20stocks,Yahoo_20stocks,5,Gurobi Cardinality,cardinality,0.0001579709445192,0.0125686492718696,0.0009245938743775,5,"[8, 12, 15, 16, 19]","['V', 'MA', 'XOM', 'KO', 'PEP']",,0.0262560844421386,0.0,,,,,
Yahoo_20stocks,Yahoo_20stocks,5,No-Sparsity Baseline,no_sparsity,0.0001546432246826,0.0124355629017199,0.0009245938854388,14,"[0, 1, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19]","['AAPL', 'MSFT', 'NVDA', 'TSLA', 'V', 'HD', 'PG', 'MA', 'DIS', 'BAC', 'XOM', 'KO', 'PFE', 'PEP']",,0.000939130783081,,,,,,
Yahoo_20stocks,Yahoo_20stocks,5,Simulated Annealing,simulated_annealing,0.000159845595063,0.0126430057764396,,5,"[0, 13, 15, 16, 19]","['AAPL', 'DIS', 'XOM', 'KO', 'PEP']",,0.0004067420959472,,,,,,
Yahoo_Test,Yahoo_5stocks,3,Best Sparse,cardinality,0.0003227159579577,0.0179642967565601,0.0012413291235426,3,"[0, 2, 4]","['AAPL', 'AMZN', 'META']",,0.0034990310668945,0.0,,,,,
Yahoo_Test,Yahoo_5stocks,3,Genetic Algorithm,genetic_algorithm,0.0003227159579577,0.0179642967565606,0.0012413290207977,3,"[0, 2, 4]","['AAPL', 'AMZN', 'META']",,0.0003809928894042,,,,,,
Yahoo_Test,Yahoo_5stocks,3,Gurobi Cardinality,cardinality,0.0003227159579577,0.0179642967565601,0.0012413291235426,3,"[0, 2, 4]","['AAPL', 'AMZN', 'META']",,0.0034990310668945,0.0,,,,,
Yahoo_Test,Yahoo_5stocks,3,No-Sparsity Baseline,no_sparsity,0.0003177204248311,0.0178247138779608,0.0011793509512737,4,"[0, 1, 2, 4]","['AAPL', 'MSFT', 'AMZN', 'META']",,0.0005559921264648,,,,,,
Yahoo_Test,Yahoo_5stocks,3,Simulated Annealing,simulated_annealing,0.0003227159579577,0.0179642967565606,0.0012413290207977,3,"[0, 2, 4]","['AAPL', 'AMZN', 'META']",,0.0004510879516601,,,,,,
