dataset,K,method,best_variance,average_variance,std_variance,best_risk,average_risk,average_solve_time,best_return,number_of_selected_assets,best_selected_indices,mip_gap,status,elapsed_total_time,remaining_time_when_started,stopped_due_to_time_budget,original_number_of_assets,number_of_assets_used,reduced_instance,reduction_rule
port4,20,cardinality,0.00013281239467838058,0.00013281239467838058,0.0,0.01152442600212178,0.01152442600212178,0.2588210105895996,0.0028731326530612245,20,"[3, 4, 10, 18, 32, 33, 35, 36, 41, 43, 44, 50, 51, 61, 63, 64, 71, 72, 85, 95]",0.0,2.0,351.53228670801036,248.46771329198964,False,98,98,False,none
port4,20,genetic_algorithm,0.00013940394532471813,0.00014198308616355861,1.9595147201646434e-06,0.01180694479214323,0.011915381258228469,14.399848999998843,0.002873133079253928,20,"[0, 1, 3, 4, 10, 18, 33, 35, 36, 39, 43, 53, 60, 61, 63, 64, 65, 71, 72, 85]",,2.0,351.8992499159649,248.1007500840351,False,98,98,False,none
port4,20,simulated_annealing,0.0001606927716842381,0.00016535175313656317,4.191215838451935e-06,0.01267646526774077,0.012857888092311268,2.655173777990664,0.002873132655499596,20,"[4, 9, 10, 16, 19, 36, 37, 41, 43, 50, 51, 55, 61, 64, 65, 70, 71, 82, 84, 85]",,2.0,395.1107022080105,204.88929779198952,False,98,98,False,none
port5,5,no_sparsity,0.0003046427911994954,0.0003046427911994954,0.0,0.01745401934224594,0.01745401934224594,0.06473994255065918,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,403.11017033294775,196.88982966705225,False,225,225,False,none
port5,5,cardinality,0.0003173597700228006,0.0003173597700228006,0.0,0.01781459429857443,0.01781459429857443,0.10984396934509277,8.176027905076564e-05,5,"[59, 61, 97, 128, 224]",0.0,2.0,403.77882200002205,196.22117799997795,False,225,225,False,none
port5,5,genetic_algorithm,0.00033557350081985546,0.0003512275709909938,2.1496501473982543e-05,0.01831866536677428,0.01873246606476742,2.771870139016149,-0.0005873967559407277,5,"[41, 59, 97, 128, 224]",,2.0,404.44084441603627,195.55915558396373,False,225,225,False,none
port5,5,simulated_annealing,0.0004507295626504584,0.00047544048538081127,2.2183378356785028e-05,0.02123039242808428,0.021798698153265902,0.5572343193537866,-0.0005435400828883914,5,"[59, 128, 147, 208, 217]",,2.0,412.76949245797005,187.23050754202995,False,225,225,False,none
port5,10,no_sparsity,0.0003046427911994954,0.0003046427911994954,0.0,0.01745401934224594,0.01745401934224594,0.04127693176269531,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,414.4487421660451,185.55125783395488,False,225,225,False,none
port5,10,cardinality,0.00030480017762035677,0.00030480017762035677,0.0,0.017458527361159555,0.017458527361159555,0.10101175308227539,8.211429346343553e-05,10,"[10, 39, 59, 61, 96, 97, 104, 128, 170, 224]",0.0,2.0,415.01978608302306,184.98021391697694,False,225,225,False,none
port5,10,genetic_algorithm,0.0003288197555051202,0.0003341529594105379,7.29731248203845e-06,0.01813338786617438,0.01827876961926506,5.095846249954775,-0.00018877014819953906,10,"[10, 23, 39, 59, 97, 104, 108, 125, 128, 198]",,2.0,415.64321729098447,184.35678270901553,False,225,225,False,none
port5,10,simulated_annealing,0.00037217488770679736,0.0004149737542184402,3.823385485229006e-05,0.019291834741848618,0.020349479847814673,1.0795372776531924,-0.00048522032788739624,10,"[28, 59, 74, 94, 97, 128, 139, 156, 175, 190]",,2.0,430.948006624938,169.051993375062,False,225,225,False,none
port5,20,no_sparsity,0.0003046427911994954,0.0003046427911994954,0.0,0.01745401934224594,0.01745401934224594,0.05431079864501953,7.119611597182535e-05,17,"[10, 39, 41, 42, 59, 61, 78, 84, 96, 97, 104, 113, 128, 170, 198, 214, 224]",,,434.19533929100726,165.80466070899274,False,225,225,False,none
port5,20,cardinality,0.00030464074207970136,0.00030464074207970136,0.0,0.01745396064163379,0.01745396064163379,0.017165184020996094,7.080196150268669e-05,11,"[10, 39, 59, 61, 84, 96, 97, 104, 128, 170, 224]",0.0,2.0,434.7865779999411,165.21342200005893,False,225,225,False,none
port5,20,genetic_algorithm,0.0003117557923722509,0.00031790655713409674,5.239823500323693e-06,0.01765660761222979,0.0178293294658471,13.9074430000425,8.395827012353877e-05,20,"[1, 4, 7, 10, 17, 26, 59, 61, 84, 96, 97, 104, 116, 135, 143, 145, 161, 170, 214, 224]",,2.0,435.32796037499793,164.67203962500207,False,225,225,False,none
port5,20,simulated_annealing,0.0003513230599766223,0.0003825860954326424,2.243432203282309e-05,0.018743613845163966,0.019551235173755042,2.8508345969797424,0.00031864636547856984,20,"[18, 20, 33, 59, 61, 72, 83, 89, 102, 108, 113, 124, 128, 175, 181, 193, 198, 204, 206, 207]",,2.0,477.0615459160181,122.93845408398192,False,225,225,False,none
